1000000008,"Antioch Illinois",60002,"7th Avenue",32,US,AMER,01,2000-01-01,9999-12-31,42.4759886999999,-88.1312672
1000000007,"San Francisco",94101,"San Fernando Way",10,US,AMER,01,2000-01-01,9999-12-31,37.733221,-122.4695642
1000000006,"New York",10011,"11th Avenue",17,US,AMER,01,2000-01-01,9999-12-31,40.7439059,-74.0086151
1000000005,"San Francisco",94101,"Winding Way",8,US,AMER,01,2000-01-01,9999-12-31,37.7094371,-122.4352474
1000000004,"San Francisco",94101,"Risel Avenue",35,US,AMER,01,2000-01-01,9999-12-31,37.7064938,-122.4488648
1000000003,"San Francisco",94101,"Summerset Street",6,US,AMER,01,2000-01-01,9999-12-31,37.7235468,-122.4063031
1000000002,"Antioch1 Illinois",60002,"Tiffany Road",54,US,AMER,01,2000-01-01,9999-12-31,42.4677883,-88.09862409999999
1000000009,"New York",10011,"57th Avenue",19,US,AMER,01,2000-01-01,9999-12-31,40.7602538,-73.9675441
1000000010,"Antioch Illinois",60002,"Fillmore Street",59,US,AMER,01,2000-01-01,9999-12-31,42.4772418,-88.0956396
1000000015,"San Francisco",94101,"Queens Boulevard",15,US,AMER,01,2000-01-01,9999-12-31,37.7700849,-122.2805739
1000000019,"San Francisco",94101,"Silver Avenue",16,US,AMER,01,2000-01-01,9999-12-31,37.7298955,-122.4132939
1000000024,"New York",10011,"Lexington Avenue",29,US,AMER,01,2000-01-01,9999-12-31,40.755562,-73.9730533
1000000023,"New York",10011,"21th Street",31,US,AMER,01,2000-01-01,9999-12-31,40.744009,-73.999422
1000000020,"San Francisco",94101,"Panorama Drive",22,US,AMER,01,2000-01-01,9999-12-31,37.751236,-122.452133
1000000028,"San Francisco",94101,"Fernwood Avenue",44,US,AMER,01,2000-01-01,9999-12-31,37.6896959,-122.4951423
1000000027,"New York",10011,"Bleecker Street",32,US,AMER,01,2000-01-01,9999-12-31,40.7285957,-74.00008149999999
1000000026,"Antioch Illinois",60002,"Grand Avenue",99,US,AMER,01,2000-01-01,9999-12-31,42.4554625,-88.1256739
1000000025,"New York",10011,"387th Street",30,US,AMER,01,2000-01-01,9999-12-31,40.754707,-73.991632999999
1000000031,"New York",10011,"Park Avenue",43,US,AMER,01,2000-01-01,9999-12-31,40.8002439,-73.94237099999999
1000000038,"Hollywood California",91602,"Morning Drive",178,US,AMER,02,2000-01-01,9999-12-31,34.136429050,-118.352803603805
1000000036,"Wilmington Delaware",19899,"1 2345 King Street",01,US,AMER,2,2000-01-01,9999-12-31,39.74594680,-75.5465890
1000000048,"Bismarck North Dakota",58501,"Franklin Ave",153,US,AMER,02,2000-01-01,9999-12-31,46.839540000,-100.7359400
1000000044,"Atlanta Georgia",30338,"Dunwoody Xing",3000,US,AMER,02,2000-01-01,9999-12-31,33.7490987000,-84.3901849000
1000000043,"Buenos Aires",1511,"Av. Libertador",12221,AR,AMER,02,2000-01-01,9999-12-31,-34.864871900,-58.57394780
1000000042,"Mexiko City",17000,"Bosque de Duraznos",24,MX,AMER,02,2000-01-01,9999-12-31,19.4325301000,-99.1332102000
1000000052,Mendoza,M5500,"Avenida De Julio",53,AR,AMER,02,2000-01-01,9999-12-31,-32.8896488000,-68.8448363000
1000000050,Puebla,40615,"Av. Hermanos Serdan",366,MX,AMER,02,2000-01-01,9999-12-31,19.0773571000,-98.227681100
1000000049,Quebec,"J0L 1T0","Rue Sault Au Matelot",65,CA,AMER,02,2000-01-01,9999-12-31,46.8147960000,-71.203329100
1000000055,"Jacksonville Florida",32229,"Marshall Street",77,US,AMER,02,2000-01-01,9999-12-31,30.3315440000,-81.6341140000
1000000063,Montreal,"H2Y 1N3","Avenue du Mont-Royal Est",63,CA,AMER,02,2000-01-01,9999-12-31,45.5364941000,-73.571180800000
1000000062,"Rio de Janeiro",20230,"Rua do Passeio",7,BR,AMER,02,2000-01-01,9999-12-31,-22.9117983000,-43.1756308000
1000000061,"Santa Fe",1510,"de Enero",85,AR,AMER,02,2000-01-01,9999-12-31,-31.618455300000,-60.7029753000
1000000067,"Chicago Illinois",60773,"North Michigan Avenue",50,US,AMER,02,2000-01-01,9999-12-31,41.8949329000,-87.62433680
1000000065,"Dallas Texas",75364,"McKinney Ave",2407,US,AMER,02,2000-01-01,9999-12-31,32.785248000,-96.80593200000
1000000071,"New York City",10184,"Fith Avenue",1843,US,AMER,02,2000-01-01,9999-12-31,40.7305991000,-73.9865812000
1000000069,"Buenos Aires",1511,Villanueva,87,AR,AMER,02,2000-01-01,9999-12-31,-35.6748224000,-58.434144200
1000000075,Cordoba,5003,"Av. Ambrosio Olmos",297,AR,AMER,02,2000-01-01,9999-12-31,-31.415463300,-64.184461700
